pathway_id	level1	level2	level3
ko05033	Human Diseases	Substance dependence	Nicotine addiction
ko05034	Human Diseases	Substance dependence	Alcoholism
ko05100	Human Diseases	Infectious disease: bacterial	Bacterial invasion of epithelial cells
ko05110	Human Diseases	Infectious disease: bacterial	Vibrio cholerae infection
ko05111	Cellular Processes	Cellular community - prokaryotes	Biofilm formation - Vibrio cholerae
ko05120	Human Diseases	Infectious disease: bacterial	Epithelial cell signaling in Helicobacter pylori infection
ko05130	Human Diseases	Infectious disease: bacterial	Pathogenic Escherichia coli infection
ko05131	Human Diseases	Infectious disease: bacterial	Shigellosis
ko05132	Human Diseases	Infectious disease: bacterial	Salmonella infection
ko05133	Human Diseases	Infectious disease: bacterial	Pertussis
ko05134	Human Diseases	Infectious disease: bacterial	Legionellosis
ko05135	Human Diseases	Infectious disease: bacterial	Yersinia infection
ko05140	Human Diseases	Infectious disease: parasitic	Leishmaniasis
ko05142	Human Diseases	Infectious disease: parasitic	Chagas disease
ko05143	Human Diseases	Infectious disease: parasitic	African trypanosomiasis
ko05144	Human Diseases	Infectious disease: parasitic	Malaria
ko05145	Human Diseases	Infectious disease: parasitic	Toxoplasmosis
ko05146	Human Diseases	Infectious disease: parasitic	Amoebiasis
ko05150	Human Diseases	Infectious disease: bacterial	Staphylococcus aureus infection
ko05152	Human Diseases	Infectious disease: bacterial	Tuberculosis
ko05160	Human Diseases	Infectious disease: viral	Hepatitis C
ko05161	Human Diseases	Infectious disease: viral	Hepatitis B
ko05162	Human Diseases	Infectious disease: viral	Measles
ko05163	Human Diseases	Infectious disease: viral	Human cytomegalovirus infection
ko05164	Human Diseases	Infectious disease: viral	Influenza A
ko05165	Human Diseases	Infectious disease: viral	Human papillomavirus infection
ko05166	Human Diseases	Infectious disease: viral	Human T-cell leukemia virus 1 infection
ko05167	Human Diseases	Infectious disease: viral	Kaposi sarcoma-associated herpesvirus infection
ko05168	Human Diseases	Infectious disease: viral	Herpes simplex virus 1 infection
ko05169	Human Diseases	Infectious disease: viral	Epstein-Barr virus infection
ko05170	Human Diseases	Infectious disease: viral	Human immunodeficiency virus 1 infection
ko05171	Human Diseases	Infectious disease: viral	Coronavirus disease - COVID-19
ko05200	Human Diseases	Cancer: overview	Pathways in cancer
ko05202	Human Diseases	Cancer: overview	Transcriptional misregulation in cancer
ko05203	Human Diseases	Cancer: overview	Viral carcinogenesis
ko05204	Human Diseases	Cancer: overview	Chemical carcinogenesis - DNA adducts
ko05205	Human Diseases	Cancer: overview	Proteoglycans in cancer
ko05206	Human Diseases	Cancer: overview	MicroRNAs in cancer
ko05207	Human Diseases	Cancer: overview	Chemical carcinogenesis - receptor activation
ko05208	Human Diseases	Cancer: overview	Chemical carcinogenesis - reactive oxygen species
ko05210	Human Diseases	Cancer: specific types	Colorectal cancer
ko05211	Human Diseases	Cancer: specific types	Renal cell carcinoma
ko05212	Human Diseases	Cancer: specific types	Pancreatic cancer
ko05213	Human Diseases	Cancer: specific types	Endometrial cancer
ko05214	Human Diseases	Cancer: specific types	Glioma
ko05215	Human Diseases	Cancer: specific types	Prostate cancer
ko05216	Human Diseases	Cancer: specific types	Thyroid cancer
ko05217	Human Diseases	Cancer: specific types	Basal cell carcinoma
ko05218	Human Diseases	Cancer: specific types	Melanoma
ko05219	Human Diseases	Cancer: specific types	Bladder cancer
ko05220	Human Diseases	Cancer: specific types	Chronic myeloid leukemia
ko05221	Human Diseases	Cancer: specific types	Acute myeloid leukemia
ko05222	Human Diseases	Cancer: specific types	Small cell lung cancer
ko05223	Human Diseases	Cancer: specific types	Non-small cell lung cancer
ko05224	Human Diseases	Cancer: specific types	Breast cancer
ko05225	Human Diseases	Cancer: specific types	Hepatocellular carcinoma
ko05226	Human Diseases	Cancer: specific types	Gastric cancer
ko05230	Human Diseases	Cancer: overview	Central carbon metabolism in cancer
ko05231	Human Diseases	Cancer: overview	Choline metabolism in cancer
ko05235	Human Diseases	Cancer: overview	PD-L1 expression and PD-1 checkpoint pathway in cancer
ko05310	Human Diseases	Immune disease	Asthma
ko05320	Human Diseases	Immune disease	Autoimmune thyroid disease
ko05321	Human Diseases	Immune disease	Inflammatory bowel disease
ko05322	Human Diseases	Immune disease	Systemic lupus erythematosus
ko05323	Human Diseases	Immune disease	Rheumatoid arthritis
ko05330	Human Diseases	Immune disease	Allograft rejection
ko05332	Human Diseases	Immune disease	Graft-versus-host disease
ko05340	Human Diseases	Immune disease	Primary immunodeficiency
ko05410	Human Diseases	Cardiovascular disease	Hypertrophic cardiomyopathy
ko05412	Human Diseases	Cardiovascular disease	Arrhythmogenic right ventricular cardiomyopathy
ko05414	Human Diseases	Cardiovascular disease	Dilated cardiomyopathy
ko05415	Human Diseases	Cardiovascular disease	Diabetic cardiomyopathy
ko05416	Human Diseases	Cardiovascular disease	Viral myocarditis
ko05417	Human Diseases	Cardiovascular disease	Lipid and atherosclerosis
ko05418	Human Diseases	Cardiovascular disease	Fluid shear stress and atherosclerosis
